Name,logp1,logFC1
CTSA,0.46,-0.068207423
STON2,0.16,-0.068178177
EIF3F,0.81,-0.068158468
NCDN,0.83,-0.068130493
PEPD,0.23,-0.068110784
RPL13A,0.76,-0.068056742
PAXBP1,0.11,-0.068030039
MYO1B,0.27,-0.067995707
SF3A3,0.12,-0.067836126
C9orf64,0.16,-0.067825953
RBM4B,0.06,-0.067824046
NCOA2,0.14,-0.067820231
RPL36AL,0.13,-0.067804337
YME1L1,0.22,-0.067728678
GLOD4,0.21,-0.067716599
IDH2,0.42,-0.067705154
H1F0,0.44,-0.067698797
NOP9,1.17,-0.067687352
CDCA4,0.09,-0.067581813
LCOR,0.13,-0.067569733
GALM,0.44,-0.067541758
FAM208B,0.70,-0.067451477
C12orf43,0.20,-0.067318598
BANP,0.55,-0.067285538
ATXN3,0.37,-0.067262014
BLMH,0.26,-0.067261378
C17orf85,1.82,-0.067169189
TNIP1,0.19,-0.067069372
GPBP1,0.17,-0.067042033
PER1,0.18,-0.067035039
DDR1,0.34,-0.066993713
RNASEH1,0.21,-0.066971461
SLC25A3,1.00,-0.066918055
FAM49B,0.57,-0.066881816
RQCD1,0.29,-0.066745758
NPHP4,0.11,-0.066732407
WASF1,0.49,-0.066725413
CSTF3,0.56,-0.066685994
TMEM209,0.14,-0.066637039
RNF40,0.64,-0.066518148
CSNK1A1,0.58,-0.066441854
GMPS,0.26,-0.066316605
SMEK1,0.12,-0.066293081
CKB,0.19,-0.06627655
ILK,1.48,-0.066186269
REXO2,0.08,-0.066152573
KATNAL2,1.08,-0.06613032
ZMYM4,0.25,-0.066019694
ELF2,0.64,-0.066001256
INTS12,0.10,-0.065848668
WDR12,0.89,-0.065755844
EDC3,0.40,-0.065749486
PHF12,0.27,-0.065705617
ORC1,0.71,-0.065700531
PIDD1,0.12,-0.065627416
CNOT2,0.62,-0.065600077
SSBP1,0.13,-0.065558751
USP15,0.54,-0.065553665
TMED8,0.19,-0.065547943
ISCA2,0.15,-0.065505981
ABCF2,0.36,-0.065486272
HMG20A,0.82,-0.065453847
ZSCAN26,0.54,-0.06543541
NUDT8,0.43,-0.06542778
GATSL3,0.23,-0.065400441
GRB2,0.51,-0.065312703
TIMM10B,0.14,-0.065261841
NOM1,0.95,-0.065242767
SGOL2,0.17,-0.065218608
HMGA1,0.09,-0.065215429
RAB34,0.21,-0.065193176
GRWD1,0.28,-0.065189997
ERCC4,0.74,-0.065186818
UQCC2,0.25,-0.064979553
KIN,0.11,-0.064959208
ADPRHL2,0.35,-0.064956029
FBXO18,0.70,-0.064900716
CLP1,0.83,-0.064781189
KIAA0196,0.22,-0.064770381
HDGFRP3,0.10,-0.064658483
FBXL6,0.30,-0.06464386
DCTPP1,0.11,-0.064533869
SBNO2,0.08,-0.064489365
VPS29,0.16,-0.064394633
RECQL4,0.67,-0.064393997
TNS1,0.37,-0.064387639
SPIN4,0.13,-0.064373016
CAPN7,0.55,-0.064357122
OGFOD3,0.15,-0.06419309
GID4,0.87,-0.064172109
CCAR2,0.37,-0.064161301
ATM,0.67,-0.064145406
PTBP1,0.57,-0.06403923
PRPF38B,0.40,-0.064024607
RBM17,0.25,-0.064008077
SEMA4B,0.82,-0.063985189
CDK2,0.61,-0.063946406
CYP20A1,0.14,-0.063940684
ZHX3,0.80,-0.063903173
KCTD17,0.25,-0.063887914
PHGDH,0.55,-0.063838323
TRIM44,0.19,-0.063833237
EWSR1,0.29,-0.063761393
RAB2A,0.59,-0.063700358
RMDN2,0.77,-0.063620885
SC5D,0.24,-0.063573201
METTL3,0.28,-0.063383738
SMU1,0.52,-0.063350042
PUS3,0.11,-0.063348134
SUB1,0.17,-0.063259125
CCND3,0.09,-0.063120524
DONSON,0.32,-0.062998454
UNKL,0.38,-0.062967936
TYW5,0.22,-0.062925975
PNP,1.59,-0.062903722
NECAP1,0.53,-0.062812169
HSPA13,0.23,-0.062709808
PDIA3,0.26,-0.06268247
FAM50B,0.13,-0.06263415
GLMN,0.82,-0.062579473
PARP4,0.41,-0.062529882
LAMTOR3,0.18,-0.062523524
MLEC,0.11,-0.06248792
USP37,0.37,-0.062467575
CRIPT,0.38,-0.062443415
KIAA0907,1.21,-0.062433879
SOX17,0.18,-0.062412262
RBM33,0.10,-0.062411626
RAB8B,0.12,-0.062410355
EXOSC5,0.28,-0.062404633
ICE2,0.14,-0.062300364
MRTO4,0.74,-0.062294006
TPD52,0.53,-0.062200546
TCEA1,1.10,-0.062121709
ZFAND3,0.16,-0.062066396
MBD2,0.19,-0.062025706
APBB1,0.26,-0.061999003
ATAD3A,0.26,-0.061986923
ANAPC4,0.16,-0.06198438
TBRG1,0.21,-0.061972936
RPAP3,0.24,-0.061925252
MAFG,0.28,-0.061887741
ZNF292,0.52,-0.061880112
LAMP1,0.39,-0.061801275
DNAAF5,0.19,-0.061755498
PPCS,0.41,-0.061655045
GALNT1,0.67,-0.061649323
PDHA1,1.16,-0.061611176
HIVEP2,0.60,-0.061594009
MRPL40,0.13,-0.061552684
GGCX,0.40,-0.061527252
FAM8A1,0.10,-0.061513901
SERPINB6,1.00,-0.061471303
ANXA2;ANXA2P2,0.60,-0.061388652
C1orf50,0.18,-0.061382294
TET2,0.26,-0.061377843
RB1,0.22,-0.061338425
TTC9C,0.34,-0.061329524
GSR,0.16,-0.061295827
GNL3L,0.70,-0.061279297
TCF12,0.35,-0.061258952
ACOT1;ACOT2,0.63,-0.06111908
PRR12,0.14,-0.060864131
CASC3,0.40,-0.060860952
KIAA1033,0.53,-0.060826619
CDCP1,0.30,-0.060743332
DNAJC11,1.91,-0.060705185
H3F3A,0.15,-0.060691833
RAC3,0.16,-0.06064415
EEF1A1;EEF1A1P5,0.10,-0.060640971
UGDH,0.84,-0.060583115
IMPDH2,0.19,-0.060495377
CCNL1,0.06,-0.06042544
USP32,0.29,-0.060383479
FBXO22,0.18,-0.060377757
KIF2A,0.18,-0.060350418
CALCOCO1,0.15,-0.060281118
COA4,0.16,-0.060220718
HSF1,1.56,-0.060219447
HSP90AA4P,0.14,-0.060121536
ADRM1,0.38,-0.060106277
MVK,0.22,-0.060042699
DNAJC16,0.17,-0.059975306
AP1M1,1.13,-0.059906642
PDIA6,0.54,-0.059901555
PPAPDC2,0.11,-0.059846242
PDXDC1,0.40,-0.059844335
RBM6,0.70,-0.059818904
PRPF19,0.36,-0.05976359
FBXO33,0.19,-0.059736252
FNDC3A,0.78,-0.059720993
PEX12,0.06,-0.05957667
MPHOSPH8,0.17,-0.059574763
AOC3;AOC2,0.03,-0.059562047
RARS,0.07,-0.059457143
UBE2F,0.15,-0.05944252
MCM2,2.02,-0.059385935
KBTBD11,0.08,-0.059305827
MORF4L2,0.23,-0.059283574
RTN1,0.32,-0.059277217
BBS7,0.16,-0.059271495
AQR,0.67,-0.059248606
SRSF6,0.15,-0.059248606
PSMD1,0.11,-0.059242249
EIF4A1,0.94,-0.059202194
PAXIP1,1.01,-0.059192657
NME2P1,0.04,-0.059172312
SCYL2,0.21,-0.05916214
TMEM41A,0.16,-0.059137344
RPS20,0.16,-0.059118271
ARHGAP12,0.26,-0.059069951
HECTD4,0.10,-0.058996201
CNOT3,0.44,-0.058836619
ESRRA,0.61,-0.058805466
SHQ1,0.25,-0.058799108
EIF4G1,0.23,-0.058784485
FAM133B,0.22,-0.058782578
PAPOLA,0.41,-0.058761597
KIF18A,0.30,-0.058705648
YLPM1,0.31,-0.058681488
SWAP70,0.18,-0.058675766
DUSP3,0.38,-0.058657964
TBX15,0.58,-0.058645248
NUDT19,0.10,-0.058644613
PPIE,0.19,-0.05863444
DNAJC8,0.12,-0.058530172
N4BP2,0.49,-0.058521271
SSR1,0.39,-0.05851682
HAUS3,0.19,-0.058510462
EEFSEC,0.93,-0.058437347
THRAP3,0.27,-0.058343252
BNIP1,0.21,-0.058330536
RBX1,0.17,-0.05832545
SUGP1,0.12,-0.058242162
IFT52,0.10,-0.05818367
IFT74,0.08,-0.058182398
INTS9,1.09,-0.058177948
KCTD10,0.64,-0.058137258
RPS11,0.18,-0.058080037
FANCG,0.28,-0.058029811
VCP,0.51,-0.058026632
COL4A3BP,0.23,-0.057991028
PRPF8,0.32,-0.057986577
SLC9A3R1,0.82,-0.057964961
TOP2A,0.28,-0.057893117
TBCE,0.21,-0.057818095
TERF2IP,0.77,-0.057813009
GLYR1,0.18,-0.057762782
SPRY4,0.39,-0.05772082
ZMYM1,0.11,-0.057711919
ZEB2,0.12,-0.057610194
SETD3,1.99,-0.057607015
SPANXB1;SPANXC;SPANXA1;SPANXD,0.22,-0.057607015
DCUN1D3,0.76,-0.057594935
L3HYPDH,0.54,-0.057535172
UGGT1,0.20,-0.057535172
ZEB1,0.36,-0.057529449
FEM1B,0.66,-0.057526906
NCK2,0.43,-0.057461421
KDM4D,0.06,-0.057461421
UBN1,0.25,-0.057416916
BRAP,0.40,-0.057281494
TBL3,0.73,-0.057269414
CAMLG,0.06,-0.057237625
RPL32,0.29,-0.057211558
UBE2C,0.11,-0.057166417
WBP11,0.47,-0.057158152
PNISR,0.34,-0.057085673
PRMT1,0.51,-0.057040532
DHX37,0.34,-0.057038625
SCAF11,0.21,-0.057013194
DEPDC1,0.11,-0.056986491
WHSC1,0.15,-0.056973139
FER,0.06,-0.056967417
ALDH1A2,0.37,-0.056917826
DTYMK,0.48,-0.05680275
ATP6V1D,0.31,-0.056667328
C5orf45,0.16,-0.056657791
UBIAD1,0.15,-0.05664444
ANKS1A,0.25,-0.056642532
ZFAND1,0.20,-0.056629181
RPL10A,0.34,-0.056619008
POLDIP2,0.45,-0.056575139
DPH6,0.24,-0.056557973
TPD52L1,0.16,-0.056545893
AASDHPPT,0.13,-0.056523641
ABHD13,0.35,-0.056519826
UBAP1,0.28,-0.056409836
AGPAT6,0.10,-0.056403478
SALL3;SALL1,0.17,-0.056335449
TIMM17A,0.26,-0.056330363
RPS7,0.32,-0.056319555
KDM5A,0.10,-0.056310018
MPDZ,0.36,-0.056296031
FDPS,0.24,-0.056156158
JMY,0.36,-0.056094488
FRAS1,0.05,-0.056086858
CTU1,0.16,-0.056048075
MAPRE1,0.13,-0.056046804
CHST6;CHST4;CHST5,0.13,-0.055949529
TMEM2,0.56,-0.0559419
HIST2H3A,0.26,-0.055766424
TMEM194A,0.14,-0.055651983
TMEM115,0.09,-0.055644989
FAAP20,0.06,-0.055613836
SPECC1L,0.12,-0.055473328
RTCB,0.75,-0.055439631
CLASP2,0.41,-0.055420558
CCDC134,0.07,-0.055419286
NUP50,0.26,-0.055400848
CHD8,0.47,-0.055350622
TEFM,0.45,-0.055336634
NOMO3,1.50,-0.055291494
ARHGEF10,0.32,-0.055278142
FZD2,0.31,-0.055243174
LASP1,0.28,-0.05519104
EPS15,0.16,-0.055175145
TAF8,0.12,-0.055107752
FUBP1,0.20,-0.055020014
DDX51,0.94,-0.05496788
EPC2,0.45,-0.054926554
POLR1D,0.09,-0.054895401
GATC,0.07,-0.054872513
UBAP2L,0.25,-0.054831187
TMEM263,0.24,-0.05479304
MRPS25,0.39,-0.054747899
PWP1,0.64,-0.054656982
ZCCHC9,0.42,-0.054636002
NOP58,0.13,-0.054612478
ATG7,0.13,-0.054583867
MAP2K5,0.34,-0.054567973
CTDNEP1,0.10,-0.054566065
BTD,0.13,-0.054452896
NAT1,0.16,-0.05442365
ESPL1,0.62,-0.054408391
UBN2,0.29,-0.054408391
CCT4,0.94,-0.054375966
ADH5,0.51,-0.054368973
HSD17B12,0.07,-0.054360708
RPS23,0.59,-0.054258982
PFDN5,0.12,-0.054231008
FOXP4,1.36,-0.054208755
MYL6B,0.08,-0.054135005
ZNF787,0.54,-0.054129918
RPUSD4,1.07,-0.054094315
IRAK3,0.13,-0.054075241
MPP2,0.07,-0.054066976
DCAF13,0.47,-0.054061254
PPT2,0.14,-0.054030101
PIAS1,1.73,-0.054014842
USP39,0.63,-0.053889592
WASF2,0.49,-0.053873062
ACLY,0.11,-0.053811391
ZNF281,0.12,-0.053784688
NSDHL,0.17,-0.053694407
TSPAN6,0.05,-0.05362765
FASTKD2,0.48,-0.053576152
CSDE1,0.24,-0.053556442
OSTF1,0.39,-0.053544362
GALNS,0.14,-0.053537369
ZC3HC1,0.36,-0.05352211
RNF26,0.07,-0.053455989
RNF20,0.19,-0.053324382
PTGES3,0.66,-0.053263982
SAMD4A,0.27,-0.053236008
PSTK,0.18,-0.053187052
YBX1,0.15,-0.053161621
MCM5,0.30,-0.053129196
IFT172,0.51,-0.053033829
SPAG5,0.65,-0.052966436
QRICH1,1.29,-0.052957535
PSMF1,0.36,-0.052946091
UBAP2L,0.05,-0.05293719
VCPIP1,0.46,-0.052930832
RPL18,0.38,-0.052902222
URB1,0.44,-0.052796046
GTSE1,0.19,-0.052770615
HSD17B10,0.47,-0.052766164
C12orf66,0.08,-0.052709579
CDV3,0.05,-0.05268542
PFDN6,0.12,-0.05256017
TYW1,0.28,-0.052550634
DIS3,0.55,-0.052549362
BAZ1B,0.44,-0.052546183
IGSF3,0.48,-0.052534103
RPL21,0.34,-0.052493413
ATG101,0.45,-0.052491506
SCFD1,0.83,-0.052470525
THUMPD1,0.76,-0.052405675
FLCN,0.38,-0.052306493
LCMT2,0.14,-0.052260081
IRF2,0.18,-0.052248637
SLC5A3,0.12,-0.052218755
AJUBA,0.13,-0.0521698
MED7,0.16,-0.05216217
BAG2,0.17,-0.052078883
DDB2,0.11,-0.052047729
RAD51AP1,0.09,-0.051968892
ATR,0.56,-0.051950455
EPM2AIP1,0.10,-0.051919937
DDX60L,0.15,-0.051890055
CMBL,0.36,-0.051883062
SPR,0.21,-0.051860174
DAXX,0.55,-0.051853816
ZFHX3,0.08,-0.051828384
MTHFS,0.86,-0.051808039
TGIF1,0.11,-0.051761627
RYBP,0.07,-0.051741282
SYMPK,0.28,-0.051724752
NOC4L,0.15,-0.051530202
GNAO1,0.12,-0.051485062
RPL6,0.74,-0.051439921
PSMA6,1.71,-0.051399867
UCHL5,0.28,-0.051381429
GREM1,0.09,-0.051359177
PPM1A,0.29,-0.051344554
RCC2,0.28,-0.051306407
PPIA,0.06,-0.051266352
PKN2,0.76,-0.051246007
SCD5,0.29,-0.05120341
ATP5O,0.48,-0.051136653
NCOA4,0.19,-0.051044464
CMC2,0.09,-0.05102094
MKI67,0.12,-0.050974528
BRWD3,0.44,-0.050947189
NUPL2,0.20,-0.050874074
ZNF512B,0.09,-0.050857544
VPS33B,0.28,-0.050840378
FAM162A,0.36,-0.050769806
STIL,0.34,-0.050758998
CKAP2,0.11,-0.050692876
HRSP12,0.20,-0.050638835
TRIP13,1.53,-0.05060641
C10orf76,0.44,-0.050559362
LIN54,0.13,-0.050486883
ELAC2,0.51,-0.050443014
CLPTM1,1.01,-0.050421397
RNMT,0.09,-0.050397237
CCNC,0.66,-0.050387065
UXT,0.13,-0.050385157
CALD1,0.04,-0.050380071
HIST1H1B,0.09,-0.050376892
FAM193B,0.10,-0.050371806
SNX29,0.12,-0.050294876
PAM,0.08,-0.050271988
TUBGCP5,0.09,-0.050256729
ZFP90,0.03,-0.050230662
WDR46,0.22,-0.050144831
KIAA0930,0.07,-0.050136566
SCAF4,0.15,-0.050096512
NECAP2,0.23,-0.050039291
FTSJ2,0.15,-0.050022761
SRP9,0.18,-0.050011953
RAVER2,0.44,-0.049957911
MKLN1,1.53,-0.049939473
ANAPC1,0.38,-0.049935659
ABI2,0.23,-0.049908956
COPS6,0.48,-0.049903234
NFXL1,0.11,-0.04989624
NUP93,2.20,-0.049800237
PBDC1,0.07,-0.049790064
AP3D1,0.18,-0.04975764
RBM5,0.39,-0.049734116
ISOC2,0.18,-0.04972585
PRPF6,0.94,-0.049661001
CLPTM1L,0.50,-0.049448649
MTF2,0.06,-0.04941686
ALG6,0.28,-0.049372355
MDM2,0.11,-0.049357096
BRCA2,0.10,-0.049266815
NSMCE4A,0.39,-0.049154917
ZNHIT1,0.07,-0.049123764
RPL4,1.22,-0.048981984
LSS,0.42,-0.04895846
SFMBT1,0.03,-0.048891703
VPS37A,0.10,-0.048865
SS18L1,0.08,-0.04883639
DNAJC1,0.10,-0.048810959
ZNF609,0.12,-0.048804601
SEC31A,0.21,-0.048786799
KLF13,0.05,-0.048774083
ZFYVE19,0.40,-0.048770269
MAX,0.23,-0.048727671
MED1,0.21,-0.048696518
ACP6,0.16,-0.048672358
SUMO1,0.07,-0.048621496
COPS5,0.30,-0.048610687
EIF2B4,0.12,-0.048592885
SUN2,0.26,-0.048498789
MLX,0.06,-0.04846255
TAF1B,0.10,-0.048440297
SLFN5,1.15,-0.048405965
ACLY,0.22,-0.04840215
GSPT1,0.21,-0.048370361
RREB1,1.24,-0.04834938
CLEC16A,0.15,-0.04832077
ABCB6,0.04,-0.048240662
BCL2L2,0.10,-0.048237483
TRPS1,0.06,-0.04820315
DOS,0.59,-0.048127492
OTUD6B,0.43,-0.048123042
PSME2,0.13,-0.048054377
TMEM39A,0.11,-0.04802831
TSN,0.38,-0.048007329
PHB2,0.41,-0.047996521
TSTD2,0.12,-0.047981262
CTDSP1;CTDSPL,0.96,-0.047883352
ETV3,0.20,-0.047801971
GAR1,0.12,-0.047701518
OARD1,0.51,-0.047682444
KCTD20,0.03,-0.047646205
HGS,1.14,-0.04758962
WRB,0.09,-0.047531128
DNAJC3,0.34,-0.047463099
RFX2,0.09,-0.04739507
RPS19,0.45,-0.047304153
LPIN1,0.24,-0.04726092
ENO2,0.17,-0.047227224
C19orf53,0.08,-0.047185262
DMAP1,0.30,-0.047060649
TIGAR,0.51,-0.047019323
ECI1,0.06,-0.04701678
CAB39,0.14,-0.047011693
EFHD1,0.06,-0.046990712
XRCC6,0.10,-0.046979904
MYCBP,0.03,-0.046975454
NOP14,0.15,-0.046938578
OSBP2,0.11,-0.046937943
HNRNPR,0.51,-0.046801885
SDCBP,0.06,-0.046772003
CFAP20,0.90,-0.046766281
PCBP2,0.96,-0.046701431
ENY2,0.09,-0.046674728
GIT2,0.32,-0.046635946
MSL1,0.24,-0.046564102
RPSA,0.20,-0.046495438
BRIX1,0.46,-0.046431224
SCRIB,0.32,-0.046319962
AARS2,0.22,-0.046319962
U2SURP,0.15,-0.046307246
INO80B,0.15,-0.046239853
CNNM2,0.19,-0.046185176
RPIA,0.13,-0.046123505
MIER3,0.09,-0.046077728
SCML2,0.13,-0.046075821
RPL38,0.12,-0.045975367
KANSL1,0.26,-0.045967102
CBX2,0.16,-0.045960108
GNB4,0.15,-0.045955658
GRPEL2,0.24,-0.04594485
RPL24,0.11,-0.045895894
WDR82,2.04,-0.045893351
MTO1,0.11,-0.045869827
VPS41,0.18,-0.045848211
TOMM70A,0.15,-0.045810064
PPP2R2A,0.56,-0.045782725
CBR1,0.71,-0.045758565
SUPT6H,0.48,-0.045746485
TUBB,0.07,-0.045726776
CCDC28B,0.11,-0.04571406
SERPINH1,0.12,-0.045712153
L2HGDH,0.16,-0.045711517
ZC3H13,0.16,-0.04565239
KIAA1429,0.31,-0.045610428
CCT5,0.14,-0.045608521
SH3BGRL2,0.31,-0.045588175
SNRNP70,0.71,-0.045572281
USP6NL,0.35,-0.045556386
HNRNPK,0.89,-0.045513789
STAU1,0.21,-0.045458476
TXNDC9,0.55,-0.045422236
SART3,0.27,-0.045391719
DCAF16,0.20,-0.045370738
NDRG3,0.21,-0.045367559
LARP4B,0.60,-0.045333227
NAP1L1,0.12,-0.045278549
ARL13B,0.15,-0.045265198
CERS5,0.15,-0.045256933
GMDS,0.64,-0.045230865
PPM1D,0.07,-0.045219421
RAB24,0.49,-0.045068105
AP1G2,0.16,-0.045057297
ZC3HAV1,0.09,-0.045022329
ODR4,0.11,-0.045021057
YARS2,0.17,-0.044986089
OSTC,0.20,-0.044952393
HAT1,0.32,-0.044909795
CPSF2,0.34,-0.044902166
SLC25A17,0.09,-0.044879278
RAB7A,0.12,-0.044816971
SYS1,0.08,-0.044802348
GINS3,1.02,-0.044792175
TPR,0.10,-0.044786453
ARHGEF39,0.07,-0.044757843
CASP8,0.14,-0.044749578
N6AMT2,0.14,-0.044667562
CEP85,0.08,-0.044667562
DPCD,0.12,-0.044647217
VAT1,0.21,-0.044644674
INO80,0.11,-0.04460907
TLN1,1.47,-0.044595083
GNL3,0.20,-0.044544856
BAIAP2L2,0.46,-0.044541041
PSMA5,0.16,-0.044527054
SYNCRIP,0.52,-0.04450798
PRDM10,0.24,-0.044410706
RELT,0.48,-0.044318517
RNF4,0.19,-0.044295629
SNRPC,0.09,-0.044281006
NR2C1,0.52,-0.044243495
RBMS1,0.22,-0.044237773
PRPSAP1,0.30,-0.044232686
NDC1,0.14,-0.044094086
YTHDF1,0.08,-0.044066747
POLB,0.33,-0.043988546
TACO1,0.22,-0.043943405
XRCC1,0.09,-0.043916066
GTF2F1,0.24,-0.043876012
IFT88,0.23,-0.04387029
RFTN1,0.14,-0.043849309
CNP,0.91,-0.043837865
SNRPD3,0.10,-0.043826421
SFN,0.09,-0.043733597
PELP1,0.62,-0.04368337
FANCI,0.70,-0.043633779
SLC30A1,0.27,-0.043620427
ZNF106,0.64,-0.043584188
WDR92,0.22,-0.043530146
ANP32A,0.31,-0.043528239
PPT1,0.50,-0.043483734
RHBDF2,0.09,-0.043434143
CDYL,0.10,-0.043303808
RPLP0;RPLP0P6,0.20,-0.043301264
TRAF2,0.03,-0.043298086
SLC38A1,0.10,-0.043279012
CNPY3,0.10,-0.043259939
STRAP,0.06,-0.043241501
CLUAP1,0.42,-0.043227514
GID8,0.08,-0.043145498
COPB1,0.16,-0.043112437
WDR70,0.18,-0.043011983
CCT8,0.73,-0.04296875
PIAS4,0.49,-0.042954763
CCBE1,0.02,-0.042954127
SEPHS1,0.27,-0.042938868
CHAMP1,0.26,-0.042908351
RBM12,0.21,-0.042896271
STK24,0.14,-0.042881648
CHMP1B,0.93,-0.042739232
ERGIC2,0.15,-0.042714437
RELL1,0.06,-0.042661667
ADAM8,0.79,-0.042656581
SMYD3,0.15,-0.04262797
HK1,0.72,-0.042574565
KIF15,0.15,-0.042519887
PEF1,0.13,-0.042500814
USP14,0.12,-0.042488734
CKAP5,0.07,-0.042463938
TSEN34,0.28,-0.042397181
SPTLC2,0.38,-0.042359034
SDC4,0.12,-0.04226621
TSEN2,0.14,-0.042232513
DHX29,0.22,-0.042185465
EIF4G2,0.28,-0.042153676
GORASP2,0.48,-0.042105993
DYNC1LI1,0.18,-0.042100906
DCAF4,0.13,-0.042097727
NFYC,0.13,-0.042086283
SHMT2,0.17,-0.042080561
ARHGAP42,0.06,-0.041984558
CRYZL1,0.15,-0.04193306
STX2,0.12,-0.041923523
ZC3H18,0.30,-0.041908264
TXNL4A,0.14,-0.041893005
PSMB2,0.39,-0.041887919
MCM3,0.15,-0.041723887
PLEKHA5,0.16,-0.041708628
RPL22,0.43,-0.041660945
SLC39A7,0.09,-0.041635513
SUPT16H,0.28,-0.04162852
POLE2,0.35,-0.041586558
YAE1D1,0.13,-0.041583379
LIMD2,0.09,-0.041523616
SSU72,0.05,-0.041519801
SMARCAL1,1.46,-0.041507721
VPS33A,0.22,-0.041496913
FBXO17,0.06,-0.041491826
RP9,0.28,-0.04147021
SPTY2D1,0.23,-0.04146258
LOC93622,0.10,-0.041451136
EMC1,0.40,-0.041445414
FAM109B,0.12,-0.041416168
ADAM17,0.44,-0.041383108
EYA4;EYA1,0.12,-0.041334152
TMEM181,0.08,-0.041272481
CPSF6,0.15,-0.04127121
NAGLT1,0.06,-0.041262309
KIF1B,0.20,-0.041252136
ABT1,1.07,-0.041249593
POLR2G,0.61,-0.041138331
FAM210A,0.08,-0.041032791
CYB5B,0.08,-0.04099973
SRSF3,0.37,-0.040972392
CD2AP,0.05,-0.040939331
TMEM30A,0.19,-0.040915171
LTBR,0.32,-0.040891012
SREBF2,0.14,-0.040805817
COG2,0.36,-0.040748596
DDX1,0.70,-0.040740967
SRSF10,0.17,-0.040722529
SNF8,0.18,-0.040688197
RPUSD2,0.36,-0.04066213
PRDX2,0.29,-0.040655772
TMPO,0.25,-0.040592194
TRNT1,0.15,-0.040543238
MYD88,0.19,-0.040540059
SLTM,0.14,-0.040497462
MED8,0.09,-0.04043897
PPP4R2,0.09,-0.040424983
ZFX;ZFY,0.06,-0.040381749
PPP1R10,0.17,-0.040349325
CENPN,0.06,-0.040344874
PBK,0.18,-0.040320714
CCDC85C,0.20,-0.040269852
TTI1,0.26,-0.040267944
RAB5C,0.60,-0.040211995
RFC1,0.37,-0.040203094
AATF,0.15,-0.040161133
LRRC47,0.14,-0.040140788
SNRPB2,0.43,-0.040133794
SMNDC1,0.04,-0.0401179
C17orf53,0.17,-0.040106455
KIF7,0.22,-0.040088018
RNF220,0.21,-0.040001551
FAM192A,0.12,-0.039999008
KIAA0195,0.03,-0.039957364
UBE2E3,0.05,-0.039936066
TRIM25,0.39,-0.039882024
UEVLD,0.11,-0.039859772
AURKA,0.14,-0.039835612
TRIM47,0.17,-0.039815267
ZKSCAN4;ZKSCAN3,0.03,-0.039796829
RPLP1,0.15,-0.039731344
LUC7L2,0.10,-0.03970782
SEC22B,0.53,-0.039695104
LSM14A,0.36,-0.039609273
IFT140,0.10,-0.039597829
C7orf25,0.06,-0.039542516
SH3BGRL3,0.41,-0.039538066
MCTP2,0.20,-0.039535522
SNRNP200,0.93,-0.039485931
MAFF,0.07,-0.039415359
TRIP11,0.14,-0.039410909
SAP18,0.15,-0.039352417
HAUS7,0.15,-0.039346059
PRMT9,0.08,-0.039329529
EXOSC8,0.07,-0.039304733
ATP1B1,0.21,-0.039301554
ALDH1L2,0.12,-0.039181391
NAMPT,0.47,-0.039161682
EIF5,0.09,-0.039138158
DECR1,0.34,-0.039129893
COX5A,0.05,-0.039119085
REXO2,0.04,-0.039116542
NUP155,0.32,-0.039110184
BAHD1,0.74,-0.038963954
NDUFB10,0.27,-0.038942337
SF3B2,0.14,-0.0389328
COPG1,0.14,-0.038925807
ATP6V1B2,0.36,-0.038924535
UNK,0.84,-0.038878759
WRAP53,0.06,-0.038878759
SPECC1,0.25,-0.038799922
MAP2K1,0.07,-0.038750966
ANKRD39,0.11,-0.038746516
RPS27L,0.02,-0.038731257
RPL31,0.12,-0.038663864
OSBP,0.19,-0.038633347
EPB41L1,0.30,-0.038620631
MKI67,0.05,-0.038614909
RAP2A,0.15,-0.038607279
AKTIP,0.03,-0.038555145
ITFG3,0.16,-0.038515091
NHP2,0.26,-0.038511912
YTHDF3,0.12,-0.03851064
FAM20C,0.11,-0.038466136
BMPR2,0.07,-0.038446426
HSP90AB1,0.13,-0.038424174
GRAMD1C,0.13,-0.038373947
SAFB,0.07,-0.038200378
ATP5D,0.32,-0.038183848
OFD1,0.32,-0.038181305
MED13L,0.21,-0.038179398
ARL2,0.21,-0.038162231
PFDN4,0.05,-0.038103739
JADE1,0.38,-0.038087845
ARPP19,0.08,-0.038077672
PGM2,0.49,-0.038061142
CLCN6,0.25,-0.037977854
EIF3K,0.60,-0.037950516
RCN1,0.88,-0.03788503
MFAP1,0.09,-0.037875493
ARFGEF1,0.28,-0.037776947
PACSIN2,0.41,-0.037743886
ZNF280D,0.06,-0.037733078
EP400,0.38,-0.03772672
UTP18,0.37,-0.037722905
DDB1,0.96,-0.037707011
RABGGTB,0.14,-0.037698746
FIZ1,0.52,-0.037672043
TIMM22,0.30,-0.037612279
RPS18,0.27,-0.037605286
KIF5C,0.59,-0.037582397
SEL1L,0.30,-0.037520091
EHD4,0.38,-0.037512461
UBE2R2,0.10,-0.037448247
RGP1,0.08,-0.037422816
SLC52A2,0.12,-0.037378947
MED13,0.14,-0.037333171
ZNF638,0.13,-0.037261327
SCO1,0.40,-0.037226359
PRPSAP2,0.24,-0.037204742
SDHAF3,0.07,-0.037188212
PPID,0.18,-0.037184397
WDR35,0.27,-0.037113825
